test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,NTP,Synchronised with NTP server,NTP,PASS,
2,leaf2,NTP,Synchronised with NTP server,NTP,PASS,
3,leaf3,NTP,Synchronised with NTP server,NTP,PASS,
4,leaf4,NTP,Synchronised with NTP server,NTP,PASS,
5,spine1,NTP,Synchronised with NTP server,NTP,PASS,
6,spine2,NTP,Synchronised with NTP server,NTP,PASS,
7,spine3,NTP,Synchronised with NTP server,NTP,PASS,
8,spine4,NTP,Synchronised with NTP server,NTP,PASS,
9,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,PASS,
10,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2_Ethernet2,PASS,
11,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet3,PASS,
12,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet3,PASS,
13,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet3,PASS,
14,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_SPINE4_Ethernet3,PASS,
15,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1,PASS,
16,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - host2,PASS,
17,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS,
18,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1_Ethernet2,PASS,
19,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet4,PASS,
20,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet4,PASS,
21,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet4,PASS,
22,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_SPINE4_Ethernet4,PASS,
23,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1,PASS,
24,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - host2,PASS,
25,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS,
26,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4_Ethernet2,PASS,
